season,player,total_minutes_played,n_rage_fouls
2020,Harry Winks,935,1
2020,Kenny Tete,1588,1
2020,Joachim Andersen,2970,1
2020,Ainsley Maitland-Niles,1859,1
2020,Darnell Furlong,3160,1
2020,Kalvin Phillips,2612,1
2020,Donny van de Beek,619,1
2020,Steven Bergwijn,1291,1
2020,Tyler Roberts,1445,1
2020,Kelechi Iheanacho,1575,1
2020,Lys Mousset,342,1
2020,Matheus Pereira,2822,1
2020,Ben Chilwell,2438,1
2020,Issa Diop,1500,1
2020,Daniel Podence,1761,1
2020,Ezri Konsa Ngoyo,3463,1
2020,Yves Bissouma,3340,1
2020,Rodrigo,2938,1
2020,Giovani Lo Celso,1005,1
2020,Miguel Almiron,2604,1
2020,Trezeguet,1254,1
2020,Ola Aina,2850,1
2020,Richarlison,3054,1
2020,Jack Harrison,3028,1
2020,John McGinn,3604,1
2020,Tanguy Ndombele,2220,1
2020,Phil Foden,1734,1
2020,Declan Rice,3083,1
2020,Jayden Bogle,1213,1
2020,Curtis Jones,1275,1
2020,Rayan Ait-Nouri,1511,1
2020,Pascal Struijk,2225,1
2020,Ozan Kabak,873,1
2020,Ibrahima Diallo,1129,1
2020,Sergio Reguilon,2411,1
2020,Maximilian Kilman,1419,1
2020,Nathaniel Phillips,1598,1
2020,Tariq Lamptey,961,1
